"audience_rating","movie_title","audience_count","genre"
65,"50 First Dates",32700188,Comedy
64,Run Fatboy Run,102871,Comedy
64,Pocahontas,560829,"Action & Adventure, Animation, Drama"
64,Red Eye,436157,"Action & Adventure, Mystery & Suspense"
64,Alvin and the Chipmunks,310645,"Animation, Comedy, Kids & Family"
64,Run Fatboy Run,102871,Comedy
64,Pocahontas,560829,"Action & Adventure, Animation, Drama"
64,Red Eye,436157,"Action & Adventure, Mystery & Suspense"
64,Alvin and the Chipmunks,310645,"Animation, Comedy, Kids & Family"
63,Orphan,872754,"Drama, Horror, Mystery & Suspense"
63,Tron Legacy,171385,"Action & Adventure, Science Fiction & Fantasy"
63,The Punisher,268111,"Action & Adventure, Drama"
63,Orphan,872754,"Drama, Horror, Mystery & Suspense"
63,Tron Legacy,171385,"Action & Adventure, Science Fiction & Fantasy"
63,The Punisher,268111,"Action & Adventure, Drama"
62,Body of Lies,129956,"Drama, Mystery & Suspense"
62,The Three Musketeers,169731,"Action & Adventure, Comedy, Kids & Family, Romance"
62,Jumanji,975177,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy, Romance"
62,Ransom,119880,"Action & Adventure, Drama, Mystery & Suspense"
62,Hannibal,403002,"Drama, Mystery & Suspense"
62,Behind Enemy Lines,321781,"Action & Adventure, Drama"
62,Hostage,212383,"Drama, Mystery & Suspense"
62,Ice Age: Dawn of the Dinosaurs (Ice Age 3),553958,"Action & Adventure, Animation, Comedy, Kids & Family"
62,Get Him to the Greek,213677,Comedy
62,Brothers,194449,"Drama, Mystery & Suspense"
62,Body of Lies,129956,"Drama, Mystery & Suspense"
62,The Three Musketeers,169731,"Action & Adventure, Comedy, Kids & Family, Romance"
62,Jumanji,975177,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy, Romance"
62,Ransom,119880,"Action & Adventure, Drama, Mystery & Suspense"
62,Hannibal,403002,"Drama, Mystery & Suspense"
62,Behind Enemy Lines,321781,"Action & Adventure, Drama"
62,Hostage,212383,"Drama, Mystery & Suspense"
62,Ice Age: Dawn of the Dinosaurs (Ice Age 3),553958,"Action & Adventure, Animation, Comedy, Kids & Family"
62,Get Him to the Greek,213677,Comedy
62,Brothers,194449,"Drama, Mystery & Suspense"
61,Double Jeopardy,178162,"Action & Adventure, Mystery & Suspense"
61,"1408",745356,"Horror, Mystery & Suspense"
61,Double Jeopardy,178162,"Action & Adventure, Mystery & Suspense"
61,"1408",745356,"Horror, Mystery & Suspense"
60,It Takes Two,135195,"Comedy, Drama, Kids & Family"
60,Anger Management,745776,Comedy
60,Ghost Town,432916,"Comedy, Documentary, Science Fiction & Fantasy, Special Interest"
60,It's Complicated,225228,"Comedy, Romance"
60,The Twilight Saga: Eclipse,333701,"Drama, Science Fiction & Fantasy, Romance"
60,It Takes Two,135195,"Comedy, Drama, Kids & Family"
60,Anger Management,745776,Comedy
60,Ghost Town,432916,"Comedy, Documentary, Science Fiction & Fantasy, Special Interest"
60,It's Complicated,225228,"Comedy, Romance"
60,The Twilight Saga: Eclipse,333701,"Drama, Science Fiction & Fantasy, Romance"
59,Public Enemies,633635,"Action & Adventure, Drama"
59,King Arthur,389926,"Action & Adventure, Drama"
59,Salt,200594,"Action & Adventure, Mystery & Suspense"
59,Public Enemies,633635,"Action & Adventure, Drama"
59,King Arthur,389926,"Action & Adventure, Drama"
59,Salt,200594,"Action & Adventure, Mystery & Suspense"
58,Disney's A Christmas Carol,776113,"Animation, Drama, Kids & Family, Science Fiction & Fantasy"
58,Twister,894092,"Action & Adventure, Drama"
58,The Skeleton Key,192239,"Drama, Horror, Mystery & Suspense, Romance"
58,The New World,148074,"Action & Adventure, Drama, Romance"
58,Big Momma's House 2,564724,Comedy
58,Casanova,190565,"Comedy, Drama, Romance"
58,Disney's A Christmas Carol,776113,"Animation, Drama, Kids & Family, Science Fiction & Fantasy"
58,Twister,894092,"Action & Adventure, Drama"
58,The Skeleton Key,192239,"Drama, Horror, Mystery & Suspense, Romance"
58,The New World,148074,"Action & Adventure, Drama, Romance"
58,Big Momma's House 2,564724,Comedy
58,Casanova,190565,"Comedy, Drama, Romance"
57,Sky High,203360,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
57,The Invisible,316487,"Drama, Mystery & Suspense"
57,Angels & Demons,531659,"Drama, Mystery & Suspense"
57,Green Zone,152535,"Drama, Mystery & Suspense"
57,"16 Blocks",163930,"Action & Adventure, Drama, Mystery & Suspense"
57,"27 Dresses",606049,"Comedy, Romance"
57,Sky High,203360,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy"
57,The Invisible,316487,"Drama, Mystery & Suspense"
57,Angels & Demons,531659,"Drama, Mystery & Suspense"
57,Green Zone,152535,"Drama, Mystery & Suspense"
57,"16 Blocks",163930,"Action & Adventure, Drama, Mystery & Suspense"
57,"27 Dresses",606049,"Comedy, Romance"
56,Arthur and the Invisibles (Arthur and the Minimoys),134466,"Animation, Kids & Family, Science Fiction & Fantasy"
56,Hoodwinked,427276,"Animation, Comedy, Kids & Family"
56,Marie Antoinette,262438,"Documentary, Drama"
56,The Crazies,199107,"Action & Adventure, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
56,"9",282084,"Action & Adventure, Animation, Drama, Science Fiction & Fantasy"
56,"30 Days of Night",458851,"Horror, Mystery & Suspense"
56,Arthur and the Invisibles (Arthur and the Minimoys),134466,"Animation, Kids & Family, Science Fiction & Fantasy"
56,Hoodwinked,427276,"Animation, Comedy, Kids & Family"
56,Marie Antoinette,262438,"Documentary, Drama"
56,The Crazies,199107,"Action & Adventure, Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
56,"9",282084,"Action & Adventure, Animation, Drama, Science Fiction & Fantasy"
56,"30 Days of Night",458851,"Horror, Mystery & Suspense"
55,Stay Alive,113399,"Horror, Mystery & Suspense"
55,The Man in the Iron Mask,318955,"Action & Adventure, Drama"
55,Alice in Wonderland,480070,"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
55,Stay Alive,113399,"Horror, Mystery & Suspense"
55,The Man in the Iron Mask,318955,"Action & Adventure, Drama"
55,Alice in Wonderland,480070,"Action & Adventure, Kids & Family, Science Fiction & Fantasy"
54,Ninja Assassin,189759,"Action & Adventure, Drama"
54,The Losers,144557,"Action & Adventure, Drama, Mystery & Suspense"
54,"8 Mile",32167884,Drama
54,Ninja Assassin,189759,"Action & Adventure, Drama"
54,The Losers,144557,"Action & Adventure, Drama, Mystery & Suspense"
54,"8 Mile",32167884,Drama
53,Percy Jackson & the Olympians: The Lightning Thief,254287,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
53,Sahara,213552,"Action & Adventure, Drama"
53,License to Wed,512641,"Comedy, Drama"
53,"3 Ninjas",202483,"Action & Adventure, Comedy, Kids & Family"
53,Percy Jackson & the Olympians: The Lightning Thief,254287,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
53,Sahara,213552,"Action & Adventure, Drama"
53,License to Wed,512641,"Comedy, Drama"
53,"3 Ninjas",202483,"Action & Adventure, Comedy, Kids & Family"
52,Beverly Hills Chihuahua,186544,Comedy
52,Untraceable,225115,"Drama, Horror, Mystery & Suspense"
52,The Perfect Holiday,159641,"Kids & Family, Romance"
52,Predators,159760,"Action & Adventure, Horror, Science Fiction & Fantasy"
52,Cliffhanger,182855,Action & Adventure
52,The Lovely Bones,373624,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
52,The Last House on the Left,1003671,"Drama, Horror, Mystery & Suspense"
52,The Taking of Pelham 1 2 3,662560,"Action & Adventure, Mystery & Suspense"
52,"8MM",137856,"Action & Adventure, Mystery & Suspense"
52,A Perfect Getaway,161390,"Action & Adventure, Mystery & Suspense"
52,Beverly Hills Chihuahua,186544,Comedy
52,Untraceable,225115,"Drama, Horror, Mystery & Suspense"
52,The Perfect Holiday,159641,"Kids & Family, Romance"
52,Predators,159760,"Action & Adventure, Horror, Science Fiction & Fantasy"
52,Cliffhanger,182855,Action & Adventure
52,The Lovely Bones,373624,"Drama, Horror, Mystery & Suspense, Science Fiction & Fantasy"
52,The Last House on the Left,1003671,"Drama, Horror, Mystery & Suspense"
52,The Taking of Pelham 1 2 3,662560,"Action & Adventure, Mystery & Suspense"
52,"8MM",137856,"Action & Adventure, Mystery & Suspense"
52,A Perfect Getaway,161390,"Action & Adventure, Mystery & Suspense"
51,Perfect Stranger,336508,"Drama, Mystery & Suspense"
51,The Bounty Hunter,263924,"Action & Adventure, Comedy, Romance"
51,"300: Rise of an Empire",140422,"Action & Adventure, Drama"
51,Perfect Stranger,336508,"Drama, Mystery & Suspense"
51,The Bounty Hunter,263924,"Action & Adventure, Comedy, Romance"
51,"300: Rise of an Empire",140422,"Action & Adventure, Drama"
50,The Midnight Meat Train,143520,"Drama, Horror, Mystery & Suspense"
50,Hide and Seek,278247,Mystery & Suspense
50,See No Evil,116571,"Horror, Mystery & Suspense"
50,"28 Days",319705,"Comedy, Drama"
50,"2 Fast 2 Furious",32791717,"Action & Adventure, Drama, Mystery & Suspense"
50,The Midnight Meat Train,143520,"Drama, Horror, Mystery & Suspense"
50,Hide and Seek,278247,Mystery & Suspense
50,See No Evil,116571,"Horror, Mystery & Suspense"
50,"28 Days",319705,"Comedy, Drama"
50,"2 Fast 2 Furious",32791717,"Action & Adventure, Drama, Mystery & Suspense"
49,Alvin and the Chipmunks: The Squeakquel,368581,"Animation, Comedy, Kids & Family"
49,Jack,226295,"Comedy, Drama, Kids & Family"
49,RoboCop,127081,"Action & Adventure, Science Fiction & Fantasy"
49,Alvin and the Chipmunks: The Squeakquel,368581,"Animation, Comedy, Kids & Family"
49,Jack,226295,"Comedy, Drama, Kids & Family"
49,RoboCop,127081,"Action & Adventure, Science Fiction & Fantasy"
48,Evolution,258975,"Comedy, Science Fiction & Fantasy"
48,Mad Money,135218,"Comedy, Drama"
48,Evolution,258975,"Comedy, Science Fiction & Fantasy"
48,Mad Money,135218,"Comedy, Drama"
47,The Three Stooges,140525,Comedy
47,"2012",508140,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
47,The Three Stooges,140525,Comedy
47,"2012",508140,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy"
46,Obsessed,258477,"Drama, Mystery & Suspense"
46,Obsessed,258477,"Drama, Mystery & Suspense"
45,Michael,119548,"Comedy, Science Fiction & Fantasy"
45,Are We There Yet?,402058,"Action & Adventure, Comedy, Kids & Family, Romance"
45,Fred Claus,371481,Comedy
45,The Haunting in Connecticut,328976,"Horror, Mystery & Suspense"
45,Michael,119548,"Comedy, Science Fiction & Fantasy"
45,Are We There Yet?,402058,"Action & Adventure, Comedy, Kids & Family, Romance"
45,Fred Claus,371481,Comedy
45,The Haunting in Connecticut,328976,"Horror, Mystery & Suspense"
44,Old Dogs,182878,"Comedy, Drama, Kids & Family"
44,Broken Arrow,193430,"Action & Adventure, Mystery & Suspense"
44,Cabin Fever,250166,"Horror, Mystery & Suspense"
44,Quarantine,881919,"Horror, Mystery & Suspense"
44,The Informant!,359235,"Comedy, Drama, Mystery & Suspense"
44,"88 Minutes",103906,"Drama, Mystery & Suspense"
