"tomatometer_rating","movie_title","tomatometer_count","genre"
97,A Night at the Opera,38,"Classics, Comedy, Musical & Performing Arts, Romance"
97,A Prophet (Un prophete),157,"Art House & International, Drama"
97,All the King's Men,35,"Classics, Drama"
97,Babe,70,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy"
97,Cat on a Hot Tin Roof,35,"Classics, Drama"
97,Gun Crazy (Deadly Is the Female),36,"Action & Adventure, Classics, Drama"
97,Intolerance,36,Classics
97,My Man Godfrey,32,"Classics, Comedy, Drama, Romance"
97,Night of the Living Dead,66,"Classics, Cult Movies, Horror"
97,Of Mice and Men,29,Drama
97,Spellbound,139,"Documentary, Special Interest"
97,Suspicion,31,"Classics, Drama, Mystery & Suspense"
97,The Bad News Bears,30,"Classics, Comedy"
97,The Big Sleep,64,"Classics, Drama, Mystery & Suspense"
97,The Hidden Fortress (kakushi-toride No San-akunin),31,"Action & Adventure, Art House & International, Classics, Drama"
97,The Long Goodbye,33,"Classics, Drama, Mystery & Suspense"
97,The Winslow Boy,37,Drama
96,'71,135,"Action & Adventure, Drama"
96,"12:08 East of Bucharest (A fost sau n-a fost?)",47,"Art House & International, Comedy, Drama"
96,"3:10 to Yuma",27,"Classics, Drama, Western"
96,"4 Months, 3 Weeks and 2 Days",140,Drama
96,"42nd Street",23,Musical & Performing Arts
96,"5 Broken Cameras",47,"Art House & International, Documentary, Drama, Special Interest"
96,A Girl Walks Home Alone at Night,130,"Horror, Mystery & Suspense, Romance"
96,A Hijacking,112,Mystery & Suspense
96,Alfie,26,"Classics, Comedy, Drama, Romance"
96,Come and See (Idi i smotri),23,"Art House & International, Drama"
96,Deep Water,55,"Documentary, Special Interest"
96,Fireworks (Hana-bi),23,"Art House & International, Drama, Romance"
96,GoodFellas,95,Drama
96,Halloween,68,"Horror, Mystery & Suspense"
96,High Noon,55,"Mystery & Suspense, Western"
96,King Corn,26,"Documentary, Musical & Performing Arts, Special Interest"
96,Risky Business,47,Comedy
96,The 39 Steps,47,"Action & Adventure, Classics, Mystery & Suspense"
96,The Circus,23,"Action & Adventure, Classics, Comedy, Drama, Kids & Family, Special Interest"
